Question,QuestionText,p_value,Significant
Q5I,[Allow Medicare to negotiate drug prices.] How strongly would you oppose or favor these?,2.3094186769235855e-06,True
Q5J,[The US government should make changes to the patent system to allow generic drugs to come on the market more quickly.] How strongly would you oppose or favor these?,9.208125778351267e-28,True
Q6A,"[The US should rejoin the Trans-Pacific Partnership, a trading agreement between 12 countries excluding China.] How strongly would you oppose or favor these?",5.883598640275943e-23,True
Q6B,[The U.S. should increase tariffs on Chinese goods.] How strongly would you oppose or favor these?,4.12296449813372e-20,True
Q6C,[The US should tighten sanctions on Russia.] How strongly would you oppose or favor these?,9.491659343318205e-46,True
Q6D,[The US should reaffirm its commitment to defend any NATO ally attacked by a hostile force.] How strongly would you oppose or favor these?,3.251826357776486e-66,True
Q6E,[The US should enhance its military presence in the Asia Pacific to prevent aggression by China.] How strongly would you oppose or favor these?,2.6197991416084665e-12,True
Q6F,[The US should recommit to the Iran Nuclear Agreement.] How strongly would you oppose or favor these?,1.471241822020594e-28,True
Q6G,[Presidents should be required to obtain explicit congressional approval for sending US troops into combat situations.] How strongly would you oppose or favor these?,9.978799281536472e-36,True
Q6H,[The U.S. should intervene abroad when it is necessary to prevent genocide.] How strongly would you oppose or favor these?,7.600013976986383e-32,True
Q6I,[The U.S. should increase military spending by up to five percent per year for the next few years to meet rising global challenges and ensure readiness.] How strongly would you oppose or favor these?,1.2415790952487668e-27,True
Q6J,[The US should use diplomacy and financial support to promote democracy and human rights throughout the world.] How strongly would you oppose or favor these?,1.5464572548662247e-24,True
