,Question,Model,Variable,coef,pval,std err,z,lower CI (0.025),upper CI (0.975),significant
528,Q3B,LLM Delta,RACE_Hispanic,    0.6257,0.005,    0.225,    2.779,    0.184,    1.067,True
531,Q3B,LLM Delta,AGEBRACKET_30_44,    0.3145,0.03,    0.145,    2.169,    0.030,    0.599,True
532,Q3B,LLM Delta,AGEBRACKET_45_59,    0.4714,0.0,    0.135,    3.496,    0.207,    0.736,True
544,Q3B,LLM Delta,EDUCATION_diversity,    0.8718,0.045,    0.434,    2.008,    0.021,    1.723,True
552,Q3C,Human Delta,RACE_Black_non_Hispanic,    0.5897,0.003,    0.198,    2.976,    0.201,    0.978,True
553,Q3C,Human Delta,RACE_Hispanic,    0.4754,0.026,    0.214,    2.222,    0.056,    0.895,True
555,Q3C,Human Delta,RACE_White_non_Hispanic,    1.7560,0.0,    0.216,    8.137,    1.333,    2.179,True
563,Q3C,Human Delta,PARTYBEFORE_Republican,    0.2863,0.026,    0.128,    2.229,    0.035,    0.538,True
566,Q3C,Human Delta,RACE_majority,   -1.3174,0.0,    0.173,   -7.601,   -1.657,   -0.978,True
587,Q3C,LLM Delta,PARTYBEFORE_Independent,    0.2147,0.036,    0.103,    2.093,    0.014,    0.416,True
588,Q3C,LLM Delta,PARTYBEFORE_Republican,    0.5200,0.0,    0.114,    4.553,    0.296,    0.744,True
607,Q3D,Human Delta,AGEBRACKET_45_59,   -0.3395,0.037,    0.163,   -2.083,   -0.659,   -0.020,True
615,Q3D,Human Delta,RACE_diversity,    0.7845,0.028,    0.357,    2.200,    0.085,    1.484,True
626,Q3D,LLM Delta,RACE_Asian_non_Hispanic,    1.6847,0.0,    0.472,    3.570,    0.760,    2.609,True
627,Q3D,LLM Delta,RACE_Black_non_Hispanic,    0.8489,0.012,    0.339,    2.504,    0.184,    1.513,True
628,Q3D,LLM Delta,RACE_Hispanic,    0.9089,0.002,    0.298,    3.053,    0.325,    1.492,True
629,Q3D,LLM Delta,RACE_Other_non_Hispanic,    2.1097,0.028,    0.957,    2.204,    0.233,    3.986,True
630,Q3D,LLM Delta,RACE_White_non_Hispanic,    1.0570,0.002,    0.334,    3.163,    0.402,    1.712,True
631,Q3D,LLM Delta,AGEBRACKET_30_44,   -0.4338,0.001,    0.136,   -3.199,   -0.700,   -0.168,True
632,Q3D,LLM Delta,AGEBRACKET_45_59,   -0.3917,0.012,    0.156,   -2.517,   -0.697,   -0.087,True
633,Q3D,LLM Delta,AGEBRACKET_60plus,   -0.4750,0.008,    0.179,   -2.650,   -0.826,   -0.124,True
636,Q3D,LLM Delta,EDUCATION_Some_college,    0.2944,0.002,    0.093,    3.173,    0.113,    0.476,True
638,Q3D,LLM Delta,PARTYBEFORE_Republican,   -0.3090,0.006,    0.113,   -2.732,   -0.531,   -0.087,True
649,Q3D,LLM Delta,GENDER_majority,   -0.2361,0.018,    0.100,   -2.356,   -0.432,   -0.040,True
666,Q3E,Human Delta,RACE_majority,    0.6770,0.002,    0.220,    3.073,    0.245,    1.109,True
682,Q3E,LLM Delta,AGEBRACKET_45_59,    0.4902,0.0,    0.132,    3.720,    0.232,    0.748,True
683,Q3E,LLM Delta,AGEBRACKET_60plus,    0.5284,0.0,    0.127,    4.163,    0.280,    0.777,True
687,Q3E,LLM Delta,PARTYBEFORE_Independent,    0.2492,0.01,    0.096,    2.590,    0.061,    0.438,True
688,Q3E,LLM Delta,PARTYBEFORE_Republican,    0.6690,0.0,    0.131,    5.103,    0.412,    0.926,True
692,Q3E,LLM Delta,AGEBRACKET_diversity,    1.3736,0.027,    0.620,    2.216,    0.159,    2.589,True
696,Q3E,LLM Delta,PARTYBEFORE_diversity,    2.7820,0.0,    0.624,    4.461,    1.560,    4.004,True
698,Q3E,LLM Delta,GENDER_diversity,   -2.3849,0.009,    0.919,   -2.596,   -4.186,   -0.584,True
705,Q3F,Human Delta,RACE_White_non_Hispanic,   -1.1685,0.0,    0.328,   -3.561,   -1.812,   -0.525,True
716,Q3F,Human Delta,RACE_majority,    1.0407,0.0,    0.237,    4.386,    0.576,    1.506,True
738,Q3F,LLM Delta,PARTYBEFORE_Republican,    0.4496,0.003,    0.152,    2.950,    0.151,    0.748,True
739,Q3F,LLM Delta,GENDER_Male,    0.2347,0.025,    0.104,    2.247,    0.030,    0.439,True
749,Q3F,LLM Delta,GENDER_majority,    0.2626,0.011,    0.103,    2.554,    0.061,    0.464,True
752,Q3G,Human Delta,RACE_Black_non_Hispanic,    0.5185,0.041,    0.254,    2.044,    0.021,    1.016,True
754,Q3G,Human Delta,RACE_Other_non_Hispanic,    1.8443,0.002,    0.606,    3.041,    0.656,    3.033,True
761,Q3G,Human Delta,EDUCATION_Some_college,   -0.2845,0.034,    0.135,   -2.115,   -0.548,   -0.021,True
764,Q3G,Human Delta,GENDER_Male,   -0.2104,0.003,    0.070,   -3.012,   -0.347,   -0.074,True
769,Q3G,Human Delta,EDUCATION_diversity,    0.9652,0.019,    0.411,    2.349,    0.160,    1.771,True
780,Q3G,LLM Delta,RACE_White_non_Hispanic,   -0.7933,0.013,    0.319,   -2.491,   -1.418,   -0.169,True
787,Q3G,LLM Delta,PARTYBEFORE_Independent,   -0.3470,0.002,    0.114,   -3.044,   -0.571,   -0.124,True
788,Q3G,LLM Delta,PARTYBEFORE_Republican,   -0.8860,0.0,    0.148,   -5.979,   -1.176,   -0.596,True
791,Q3G,LLM Delta,RACE_majority,    0.7247,0.002,    0.231,    3.131,    0.271,    1.178,True
837,Q3H,LLM Delta,PARTYBEFORE_Independent,   -0.3536,0.003,    0.119,   -2.978,   -0.586,   -0.121,True
838,Q3H,LLM Delta,PARTYBEFORE_Republican,   -0.5102,0.0,    0.109,   -4.666,   -0.725,   -0.296,True
843,Q3H,LLM Delta,AGEBRACKET_majority,   -0.2082,0.027,    0.094,   -2.214,   -0.393,   -0.024,True
854,Q4A,Human Delta,RACE_Other_non_Hispanic,    1.5581,0.03,    0.720,    2.165,    0.147,    2.969,True
857,Q4A,Human Delta,AGEBRACKET_45_59,   -0.5200,0.002,    0.167,   -3.111,   -0.848,   -0.192,True
859,Q4A,Human Delta,EDUCATION_HS_graduate_or_equivalent,    0.3089,0.036,    0.147,    2.097,    0.020,    0.598,True
870,Q4A,Human Delta,EDUCATION_majority,    0.2938,0.005,    0.104,    2.821,    0.090,    0.498,True
874,Q4A,Human Delta,GENDER_majority,   -0.2138,0.007,    0.080,   -2.677,   -0.370,   -0.057,True
877,Q4A,LLM Delta,RACE_Black_non_Hispanic,    0.5107,0.037,    0.245,    2.082,    0.030,    0.992,True
879,Q4A,LLM Delta,RACE_Other_non_Hispanic,    3.5142,0.0,    0.424,    8.280,    2.682,    4.346,True
899,Q4A,LLM Delta,GENDER_majority,   -0.2032,0.02,    0.087,   -2.324,   -0.375,   -0.032,True
901,Q4B,Human Delta,RACE_Asian_non_Hispanic,    0.6417,0.041,    0.314,    2.040,    0.025,    1.258,True
903,Q4B,Human Delta,RACE_Hispanic,    0.6432,0.039,    0.311,    2.066,    0.033,    1.253,True
937,Q4B,LLM Delta,PARTYBEFORE_Independent,   -0.5798,0.0,    0.102,   -5.698,   -0.779,   -0.380,True
938,Q4B,LLM Delta,PARTYBEFORE_Republican,   -0.9920,0.0,    0.164,   -6.049,   -1.313,   -0.671,True
950,Q4C,Human Delta,Intercept,    1.6179,0.004,    0.567,    2.853,    0.506,    2.729,True
955,Q4C,Human Delta,RACE_White_non_Hispanic,   -2.1858,0.0,    0.336,   -6.513,   -2.844,   -1.528,True
966,Q4C,Human Delta,RACE_majority,    1.7946,0.0,    0.235,    7.636,    1.334,    2.255,True
967,Q4C,Human Delta,AGEBRACKET_diversity,   -2.1159,0.0,    0.582,   -3.638,   -3.256,   -0.976,True
979,Q4C,LLM Delta,RACE_Other_non_Hispanic,    1.0191,0.048,    0.516,    1.974,    0.007,    2.031,True
984,Q4C,LLM Delta,EDUCATION_HS_graduate_or_equivalent,   -0.4871,0.001,    0.148,   -3.287,   -0.778,   -0.197,True
988,Q4C,LLM Delta,PARTYBEFORE_Republican,    0.5605,0.0,    0.148,    3.792,    0.271,    0.850,True
1016,Q4D,Human Delta,RACE_majority,   -0.4479,0.015,    0.184,   -2.428,   -0.809,   -0.086,True
1027,Q4D,LLM Delta,RACE_Black_non_Hispanic,    0.6267,0.002,    0.200,    3.129,    0.234,    1.019,True
1029,Q4D,LLM Delta,RACE_Other_non_Hispanic,    2.8978,0.0,    0.488,    5.943,    1.942,    3.853,True
1030,Q4D,LLM Delta,RACE_White_non_Hispanic,    0.6678,0.013,    0.270,    2.476,    0.139,    1.196,True
1036,Q4D,LLM Delta,EDUCATION_Some_college,    0.2147,0.007,    0.079,    2.715,    0.060,    0.370,True
1037,Q4D,LLM Delta,PARTYBEFORE_Independent,   -0.3857,0.0,    0.083,   -4.640,   -0.549,   -0.223,True
1038,Q4D,LLM Delta,PARTYBEFORE_Republican,   -0.4126,0.002,    0.136,   -3.042,   -0.678,   -0.147,True
1041,Q4D,LLM Delta,RACE_majority,   -0.5310,0.035,    0.251,   -2.112,   -1.024,   -0.038,True
1048,Q4D,LLM Delta,GENDER_diversity,   -2.0123,0.038,    0.972,   -2.071,   -3.917,   -0.108,True
1055,Q4E,Human Delta,RACE_White_non_Hispanic,    1.1975,0.0,    0.245,    4.897,    0.718,    1.677,True
1056,Q4E,Human Delta,AGEBRACKET_30_44,   -0.3109,0.007,    0.115,   -2.708,   -0.536,   -0.086,True
1060,Q4E,Human Delta,EDUCATION_No_HS_diploma,    0.8747,0.007,    0.322,    2.717,    0.244,    1.506,True
1061,Q4E,Human Delta,EDUCATION_Some_college,   -0.2316,0.024,    0.103,   -2.251,   -0.433,   -0.030,True
1066,Q4E,Human Delta,RACE_majority,   -0.9126,0.0,    0.158,   -5.777,   -1.222,   -0.603,True
1091,Q4E,LLM Delta,RACE_majority,    0.3915,0.024,    0.174,    2.251,    0.051,    0.732,True
1092,Q4E,LLM Delta,AGEBRACKET_diversity,    1.0872,0.034,    0.513,    2.120,    0.082,    2.092,True
1113,Q4G,Human Delta,PARTYBEFORE_Republican,   -0.3010,0.006,    0.109,   -2.769,   -0.514,   -0.088,True
1119,Q4G,Human Delta,EDUCATION_diversity,   -1.0559,0.048,    0.534,   -1.979,   -2.102,   -0.010,True
1126,Q4G,LLM Delta,RACE_Asian_non_Hispanic,   -0.5063,0.026,    0.227,   -2.229,   -0.951,   -0.061,True
1129,Q4G,LLM Delta,RACE_Other_non_Hispanic,   -0.5871,0.004,    0.203,   -2.895,   -0.985,   -0.190,True
1137,Q4G,LLM Delta,PARTYBEFORE_Independent,   -0.5755,0.0,    0.111,   -5.187,   -0.793,   -0.358,True
1138,Q4G,LLM Delta,PARTYBEFORE_Republican,   -0.7844,0.0,    0.096,   -8.190,   -0.972,   -0.597,True
1149,Q4G,LLM Delta,GENDER_majority,   -0.1432,0.038,    0.069,   -2.075,   -0.278,   -0.008,True
1152,Q4H,Human Delta,RACE_Black_non_Hispanic,    0.6974,0.015,    0.287,    2.427,    0.134,    1.261,True
1155,Q4H,Human Delta,RACE_White_non_Hispanic,    1.4281,0.0,    0.379,    3.767,    0.685,    2.171,True
1166,Q4H,Human Delta,RACE_majority,   -1.0129,0.0,    0.195,   -5.199,   -1.395,   -0.631,True
1177,Q4H,LLM Delta,RACE_Black_non_Hispanic,    0.8435,0.0,    0.132,    6.382,    0.584,    1.103,True
1178,Q4H,LLM Delta,RACE_Hispanic,    1.0285,0.0,    0.199,    5.165,    0.638,    1.419,True
1180,Q4H,LLM Delta,RACE_White_non_Hispanic,    0.5526,0.003,    0.187,    2.953,    0.186,    0.919,True
1187,Q4H,LLM Delta,PARTYBEFORE_Independent,   -0.2574,0.01,    0.099,   -2.592,   -0.452,   -0.063,True
1188,Q4H,LLM Delta,PARTYBEFORE_Republican,   -0.3422,0.0,    0.087,   -3.946,   -0.512,   -0.172,True
1191,Q4H,LLM Delta,RACE_majority,   -0.4238,0.024,    0.187,   -2.263,   -0.791,   -0.057,True
1197,Q4H,LLM Delta,PARTYBEFORE_majority,    0.2023,0.008,    0.076,    2.662,    0.053,    0.351,True
1200,Q5A,Human Delta,Intercept,   -1.2492,0.018,    0.530,   -2.356,   -2.288,   -0.210,True
1201,Q5A,Human Delta,RACE_Asian_non_Hispanic,    0.5719,0.028,    0.260,    2.203,    0.063,    1.081,True
1205,Q5A,Human Delta,RACE_White_non_Hispanic,    0.8109,0.001,    0.252,    3.213,    0.316,    1.306,True
1213,Q5A,Human Delta,PARTYBEFORE_Republican,    0.5472,0.001,    0.165,    3.324,    0.225,    0.870,True
1216,Q5A,Human Delta,RACE_majority,   -0.4088,0.022,    0.178,   -2.294,   -0.758,   -0.060,True
1225,Q5A,LLM Delta,Intercept,   -1.6147,0.019,    0.686,   -2.352,   -2.960,   -0.269,True
1227,Q5A,LLM Delta,RACE_Black_non_Hispanic,    0.6157,0.029,    0.282,    2.184,    0.063,    1.168,True
1237,Q5A,LLM Delta,PARTYBEFORE_Independent,    0.2242,0.008,    0.084,    2.658,    0.059,    0.389,True
1238,Q5A,LLM Delta,PARTYBEFORE_Republican,    1.0559,0.0,    0.123,    8.609,    0.816,    1.296,True
1253,Q5B,Human Delta,RACE_Hispanic,    0.6929,0.009,    0.265,    2.617,    0.174,    1.212,True
1255,Q5B,Human Delta,RACE_White_non_Hispanic,    0.9601,0.001,    0.280,    3.426,    0.411,    1.509,True
1266,Q5B,Human Delta,RACE_majority,   -0.6615,0.002,    0.209,   -3.172,   -1.070,   -0.253,True
1269,Q5B,Human Delta,EDUCATION_diversity,    0.7086,0.048,    0.358,    1.980,    0.007,    1.410,True
1271,Q5B,Human Delta,PARTYBEFORE_diversity,   -1.5122,0.018,    0.638,   -2.369,   -2.763,   -0.261,True
1273,Q5B,Human Delta,GENDER_diversity,    1.5799,0.026,    0.711,    2.223,    0.187,    2.973,True
1280,Q5B,LLM Delta,RACE_White_non_Hispanic,    0.7691,0.045,    0.385,    2.000,    0.015,    1.523,True
1294,Q5B,LLM Delta,EDUCATION_diversity,    1.0473,0.012,    0.418,    2.508,    0.229,    1.866,True
1316,Q5C,Human Delta,RACE_majority,    0.6051,0.009,    0.233,    2.599,    0.149,    1.061,True
1337,Q5C,LLM Delta,PARTYBEFORE_Independent,   -0.2594,0.011,    0.102,   -2.536,   -0.460,   -0.059,True
1341,Q5C,LLM Delta,RACE_majority,   -0.4301,0.045,    0.214,   -2.009,   -0.850,   -0.010,True
1351,Q5D,Human Delta,RACE_Asian_non_Hispanic,    0.5311,0.049,    0.270,    1.964,    0.001,    1.061,True
1352,Q5D,Human Delta,RACE_Black_non_Hispanic,    0.4392,0.049,    0.223,    1.968,    0.002,    0.877,True
1355,Q5D,Human Delta,RACE_White_non_Hispanic,    0.6908,0.019,    0.294,    2.350,    0.115,    1.267,True
1357,Q5D,Human Delta,AGEBRACKET_45_59,    0.2766,0.033,    0.129,    2.137,    0.023,    0.530,True
1364,Q5D,Human Delta,GENDER_Male,    0.2405,0.032,    0.112,    2.140,    0.020,    0.461,True
1373,Q5D,Human Delta,GENDER_diversity,   -1.8002,0.019,    0.769,   -2.341,   -3.308,   -0.293,True
1374,Q5D,Human Delta,GENDER_majority,    0.2950,0.002,    0.094,    3.137,    0.111,    0.479,True
1386,Q5D,LLM Delta,EDUCATION_Some_college,    0.3099,0.005,    0.111,    2.793,    0.092,    0.527,True
1389,Q5D,LLM Delta,GENDER_Male,    0.2026,0.033,    0.095,    2.132,    0.016,    0.389,True
1399,Q5D,LLM Delta,GENDER_majority,    0.2047,0.04,    0.100,    2.053,    0.009,    0.400,True
1403,Q5E,Human Delta,RACE_Hispanic,   -0.6380,0.037,    0.305,   -2.091,   -1.236,   -0.040,True
1405,Q5E,Human Delta,RACE_White_non_Hispanic,   -1.2321,0.0,    0.305,   -4.039,   -1.830,   -0.634,True
1408,Q5E,Human Delta,AGEBRACKET_60plus,   -0.2823,0.035,    0.134,   -2.104,   -0.545,   -0.019,True
1416,Q5E,Human Delta,RACE_majority,    0.6195,0.0,    0.176,    3.527,    0.275,    0.964,True
1429,Q5E,LLM Delta,RACE_Other_non_Hispanic,   -4.1960,0.0,    0.827,   -5.076,   -5.816,   -2.576,True
1435,Q5E,LLM Delta,EDUCATION_No_HS_diploma,    0.5938,0.047,    0.299,    1.984,    0.007,    1.181,True
1437,Q5E,LLM Delta,PARTYBEFORE_Independent,    0.1874,0.047,    0.094,    1.990,    0.003,    0.372,True
1438,Q5E,LLM Delta,PARTYBEFORE_Republican,    0.3380,0.005,    0.121,    2.800,    0.101,    0.575,True
1442,Q5E,LLM Delta,AGEBRACKET_diversity,   -1.0577,0.044,    0.526,   -2.011,   -2.088,   -0.027,True
1444,Q5E,LLM Delta,EDUCATION_diversity,    0.6368,0.02,    0.274,    2.322,    0.099,    1.174,True
1455,Q5F,Human Delta,RACE_White_non_Hispanic,   -0.6256,0.03,    0.289,   -2.164,   -1.192,   -0.059,True
1462,Q5F,Human Delta,PARTYBEFORE_Independent,   -0.2655,0.018,    0.112,   -2.368,   -0.485,   -0.046,True
1466,Q5F,Human Delta,RACE_majority,    0.4795,0.045,    0.239,    2.005,    0.011,    0.948,True
1474,Q5F,Human Delta,GENDER_majority,    0.2226,0.017,    0.093,    2.395,    0.040,    0.405,True
1478,Q5F,LLM Delta,RACE_Hispanic,   -0.7006,0.003,    0.239,   -2.932,   -1.169,   -0.232,True
1485,Q5F,LLM Delta,EDUCATION_No_HS_diploma,   -0.5359,0.045,    0.267,   -2.008,   -1.059,   -0.013,True
1487,Q5F,LLM Delta,PARTYBEFORE_Independent,   -0.2812,0.002,    0.090,   -3.108,   -0.459,   -0.104,True
1488,Q5F,LLM Delta,PARTYBEFORE_Republican,   -0.4536,0.0,    0.118,   -3.837,   -0.685,   -0.222,True
1491,Q5F,LLM Delta,RACE_majority,   -0.7969,0.0,    0.186,   -4.280,   -1.162,   -0.432,True
1503,Q5G,Human Delta,RACE_Hispanic,   -0.5211,0.015,    0.215,   -2.427,   -0.942,   -0.100,True
1505,Q5G,Human Delta,RACE_White_non_Hispanic,    0.9034,0.001,    0.274,    3.294,    0.366,    1.441,True
1506,Q5G,Human Delta,AGEBRACKET_30_44,   -0.3802,0.011,    0.150,   -2.534,   -0.674,   -0.086,True
1516,Q5G,Human Delta,RACE_majority,   -1.1074,0.0,    0.234,   -4.734,   -1.566,   -0.649,True
1561,Q5H,Human Delta,EDUCATION_Some_college,    0.2424,0.027,    0.109,    2.218,    0.028,    0.457,True
1566,Q5H,Human Delta,RACE_majority,   -0.5455,0.035,    0.259,   -2.109,   -1.052,   -0.039,True
1570,Q5H,Human Delta,EDUCATION_majority,    0.2435,0.021,    0.105,    2.311,    0.037,    0.450,True
1587,Q5H,LLM Delta,PARTYBEFORE_Independent,   -0.4230,0.0,    0.109,   -3.881,   -0.637,   -0.209,True
1588,Q5H,LLM Delta,PARTYBEFORE_Republican,   -0.3526,0.01,    0.137,   -2.580,   -0.620,   -0.085,True
1591,Q5H,LLM Delta,RACE_majority,   -0.7810,0.0,    0.187,   -4.171,   -1.148,   -0.414,True
1596,Q5H,LLM Delta,PARTYBEFORE_diversity,   -1.1489,0.043,    0.569,   -2.020,   -2.263,   -0.034,True
1599,Q5H,LLM Delta,GENDER_majority,   -0.2633,0.003,    0.090,   -2.923,   -0.440,   -0.087,True
1655,Q6A,Human Delta,RACE_White_non_Hispanic,    0.6197,0.045,    0.310,    2.000,    0.013,    1.227,True
1663,Q6A,Human Delta,PARTYBEFORE_Republican,    0.5268,0.0,    0.141,    3.723,    0.250,    0.804,True
1675,Q6A,LLM Delta,Intercept,   -1.3415,0.035,    0.636,   -2.109,   -2.588,   -0.095,True
1688,Q6A,LLM Delta,PARTYBEFORE_Republican,    0.4447,0.0,    0.118,    3.773,    0.214,    0.676,True
1691,Q6A,LLM Delta,RACE_majority,   -0.7252,0.004,    0.249,   -2.916,   -1.213,   -0.238,True
1717,Q6B,Human Delta,AGEBRACKET_diversity,   -1.1625,0.041,    0.570,   -2.040,   -2.280,   -0.045,True
1722,Q6B,Human Delta,PARTYBEFORE_majority,    0.1782,0.031,    0.083,    2.157,    0.016,    0.340,True
1726,Q6B,LLM Delta,RACE_Asian_non_Hispanic,   -0.5305,0.043,    0.262,   -2.028,   -1.043,   -0.018,True
1729,Q6B,LLM Delta,RACE_Other_non_Hispanic,   -1.4004,0.043,    0.693,   -2.020,   -2.759,   -0.042,True
1730,Q6B,LLM Delta,RACE_White_non_Hispanic,   -1.1048,0.0,    0.256,   -4.311,   -1.607,   -0.602,True
1736,Q6B,LLM Delta,EDUCATION_Some_college,    0.2043,0.048,    0.104,    1.973,    0.001,    0.407,True
1737,Q6B,LLM Delta,PARTYBEFORE_Independent,    0.3857,0.001,    0.113,    3.416,    0.164,    0.607,True
1738,Q6B,LLM Delta,PARTYBEFORE_Republican,    0.5787,0.0,    0.114,    5.058,    0.354,    0.803,True
1740,Q6B,LLM Delta,RACE_diversity,   -0.7087,0.003,    0.239,   -2.962,   -1.178,   -0.240,True
1741,Q6B,LLM Delta,RACE_majority,    1.0923,0.0,    0.182,    6.015,    0.736,    1.448,True
1742,Q6B,LLM Delta,AGEBRACKET_diversity,    1.2722,0.002,    0.414,    3.075,    0.461,    2.083,True
1746,Q6B,LLM Delta,PARTYBEFORE_diversity,    1.3722,0.013,    0.553,    2.483,    0.289,    2.455,True
