ID,Question,QuestionText,Topic,ValidResponse,BeforeNumber,BeforeResponse,AfterNumber,AfterResponse,GROUP,RACE,AGEBRACKET,EDUCATION,PARTYBEFORE,GENDER,AGE,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
17,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,3,Moderately oppose,1,"White, non-Hispanic",45-59,BA or above,Republican,Male,49,8,8,9,8,9,9,9,9,9,9
127,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,8,Strongly favor,5,In the middle,1,"White, non-Hispanic",60+,BA or above,Independent,Male,62,6,7,7,7,7,7,6,7,7,7
173,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,2,Strongly oppose,1,Very strongly oppose,1,"White, non-Hispanic",60+,BA or above,Independent,Male,71,1,1,2,1,1,2,1,1,1,1
189,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,5,In the middle,1,"White, non-Hispanic",60+,Some college,Independent,Male,68,6,6,4,4,4,6,6,4,6,4
244,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,2,Strongly oppose,0,Extremely oppose,1,"White, non-Hispanic",18-29,Some college,Republican,Female,23,1,1,2,1,1,2,1,1,1,1
249,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,5,In the middle,1,"2+, non-Hispanic",60+,BA or above,Republican,Female,62,9,8,9,9,9,9,9,9,9,9
280,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,0,Extremely oppose,5,In the middle,1,"Black, non-Hispanic",45-59,Some college,Democrat,Female,45,0,0,0,0,0,0,0,0,0,0
345,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,8,Strongly favor,1,"Black, non-Hispanic",30-44,BA or above,Democrat,Female,37,6,6,4,6,4,6,6,4,6,4
360,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,8,Strongly favor,1,"Asian, non-Hispanic",18-29,BA or above,Independent,Male,24,8,8,8,8,9,9,9,8,8,9
446,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,6,Slightly favor,5,In the middle,1,"White, non-Hispanic",45-59,BA or above,Democrat,Female,48,5,5,7,7,4,5,5,5,7,5
493,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,2,Strongly oppose,1,"White, non-Hispanic",45-59,Some college,Independent,Female,48,6,6,6,6,6,6,6,6,6,6
508,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,2,Strongly oppose,1,Very strongly oppose,1,Hispanic,60+,HS graduate or equivalent,Republican,Female,63,1,1,2,1,1,1,1,1,1,1
515,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,0,Extremely oppose,0,Extremely oppose,1,"White, non-Hispanic",60+,Some college,Democrat,Female,72,0,0,0,0,0,0,0,0,0,0
0,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",18-29,Some college,Independent,Male,21,10,10,10,9,9,10,9,10,10,10
17,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,9,Very strongly favor,8,Strongly favor,1,"White, non-Hispanic",45-59,BA or above,Republican,Male,49,9,8,10,9,4,9,9,10,10,9
127,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,7,Moderately favor,7,Moderately favor,1,"White, non-Hispanic",60+,BA or above,Independent,Male,62,8,8,8,8,8,8,8,8,8,8
173,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",60+,BA or above,Independent,Male,71,10,10,10,10,9,10,10,10,10,10
189,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,"White, non-Hispanic",60+,Some college,Independent,Male,68,6,6,7,6,6,6,6,6,6,8
244,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",18-29,Some college,Republican,Female,23,10,10,9,9,9,10,9,10,10,10
249,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,9,Very strongly favor,1,"2+, non-Hispanic",60+,BA or above,Republican,Female,62,6,6,7,6,8,7,6,6,7,8
280,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"Black, non-Hispanic",45-59,Some college,Democrat,Female,45,10,10,10,10,10,10,10,10,10,10
345,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,"Black, non-Hispanic",30-44,BA or above,Democrat,Female,37,8,8,8,8,8,8,8,8,8,8
360,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,"Asian, non-Hispanic",18-29,BA or above,Independent,Male,24,6,6,6,6,6,6,6,6,6,8
446,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",45-59,BA or above,Democrat,Female,48,10,10,10,10,10,10,10,10,10,10
493,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,9,Very strongly favor,10,Strongly favor,1,"White, non-Hispanic",45-59,Some college,Independent,Female,48,9,10,9,10,9,9,9,10,10,9
508,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,Hispanic,60+,HS graduate or equivalent,Republican,Female,63,10,10,10,10,9,10,9,10,10,10
515,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",60+,Some college,Democrat,Female,72,10,10,10,10,9,10,10,10,10,10
0,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,0,Extremely oppose,7,Moderately favor,1,"White, non-Hispanic",18-29,Some college,Independent,Male,21,2,0,2,4,4,2,2,2,3,0
17,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,0,Extremely oppose,5,In the middle,1,"White, non-Hispanic",45-59,BA or above,Republican,Male,49,2,0,2,4,4,0,2,4,3,2
127,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,5,In the middle,1,"White, non-Hispanic",60+,BA or above,Independent,Male,62,6,6,7,7,6,6,6,6,6,6
173,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",60+,BA or above,Independent,Male,71,9,9,9,9,9,9,9,9,9,9
189,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,2,Strongly oppose,7,Moderately favor,1,"White, non-Hispanic",60+,Some college,Independent,Male,68,1,1,3,4,4,3,1,3,3,3
244,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,6,Slightly favor,7,Moderately favor,1,"White, non-Hispanic",18-29,Some college,Republican,Female,23,7,7,7,7,7,7,7,7,7,7
249,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,5,In the middle,1,"2+, non-Hispanic",60+,BA or above,Republican,Female,62,6,6,7,6,6,6,6,6,6,6
280,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,5,In the middle,1,"Black, non-Hispanic",45-59,Some college,Democrat,Female,45,9,9,9,9,9,9,9,10,9,10
345,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,False,98,SKIPPED ON WEB/PAPI,3,Moderately oppose,1,"Black, non-Hispanic",30-44,BA or above,Democrat,Female,37,6,8,8,9,8,8,9,8,8,8
360,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,3,Moderately oppose,5,In the middle,1,"Asian, non-Hispanic",18-29,BA or above,Independent,Male,24,4,4,2,4,4,4,2,4,4,4
446,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",45-59,BA or above,Democrat,Female,48,9,9,9,9,9,9,9,9,9,9
493,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,7,Moderately favor,1,"White, non-Hispanic",45-59,Some college,Independent,Female,48,6,6,7,6,6,6,6,6,6,6
508,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,Hispanic,60+,HS graduate or equivalent,Republican,Female,63,6,6,7,6,6,6,6,6,6,6
515,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,8,Strongly favor,1,"White, non-Hispanic",60+,Some college,Democrat,Female,72,9,9,9,9,9,9,9,10,10,9
0,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,"White, non-Hispanic",18-29,Some college,Independent,Male,21,6,6,6,6,6,6,6,6,6,6
17,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,3,Moderately oppose,2,Strongly oppose,1,"White, non-Hispanic",45-59,BA or above,Republican,Male,49,4,4,2,4,4,4,2,4,4,4
127,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,6,Slightly favor,1,"White, non-Hispanic",60+,BA or above,Independent,Male,62,6,6,7,6,6,7,6,6,6,6
173,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,"White, non-Hispanic",60+,BA or above,Independent,Male,71,6,6,6,6,6,6,6,6,6,6
189,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,3,Moderately oppose,7,Moderately favor,1,"White, non-Hispanic",60+,Some college,Independent,Male,68,4,4,4,4,4,4,2,4,4,4
244,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,7,Moderately favor,5,In the middle,1,"White, non-Hispanic",18-29,Some college,Republican,Female,23,8,8,8,8,8,8,8,8,8,8
249,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,4,Slightly oppose,1,"2+, non-Hispanic",60+,BA or above,Republican,Female,62,6,6,7,7,6,7,6,6,6,7
280,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,8,Strongly favor,10,Strongly favor,1,"Black, non-Hispanic",45-59,Some college,Democrat,Female,45,8,8,9,9,9,9,9,9,9,9
345,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,False,98,SKIPPED ON WEB/PAPI,9,Very strongly favor,1,"Black, non-Hispanic",30-44,BA or above,Democrat,Female,37,8,6,8,9,6,7,9,10,8,6
360,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,8,Strongly favor,8,Strongly favor,1,"Asian, non-Hispanic",18-29,BA or above,Independent,Male,24,9,9,8,9,9,9,9,9,9,9
446,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,7,Moderately favor,5,In the middle,1,"White, non-Hispanic",45-59,BA or above,Democrat,Female,48,8,8,8,8,8,8,8,8,8,8
493,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,8,Strongly favor,1,"White, non-Hispanic",45-59,Some college,Independent,Female,48,6,6,6,6,6,7,6,6,6,6
508,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,5,In the middle,1,Hispanic,60+,HS graduate or equivalent,Republican,Female,63,9,9,9,9,9,9,9,9,9,9
515,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",60+,Some college,Democrat,Female,72,10,10,9,9,9,9,9,10,9,9
0,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,5,In the middle,10,Strongly favor,1,"White, non-Hispanic",18-29,Some college,Independent,Male,21,6,6,6,6,6,6,6,6,6,6
17,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,2,Strongly oppose,6,Slightly favor,1,"White, non-Hispanic",45-59,BA or above,Republican,Male,49,1,1,2,1,1,2,2,1,1,1
127,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,5,In the middle,4,Slightly oppose,1,"White, non-Hispanic",60+,BA or above,Independent,Male,62,6,6,6,6,6,6,6,6,6,6
173,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,5,In the middle,7,Moderately favor,1,"White, non-Hispanic",60+,BA or above,Independent,Male,71,6,6,6,6,6,6,6,6,6,6
189,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,3,Moderately oppose,5,In the middle,1,"White, non-Hispanic",60+,Some college,Independent,Male,68,4,4,2,4,4,4,2,4,4,4
244,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,5,In the middle,6,Slightly favor,1,"White, non-Hispanic",18-29,Some college,Republican,Female,23,6,6,6,6,6,6,6,6,6,6
249,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,0,Extremely oppose,4,Slightly oppose,1,"2+, non-Hispanic",60+,BA or above,Republican,Female,62,0,0,2,0,0,0,0,0,0,0
280,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,False,5,In the middle,77,No opinion,1,"Black, non-Hispanic",45-59,Some college,Democrat,Female,45,6,6,7,7,6,6,6,6,6,6
345,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,False,98,SKIPPED ON WEB/PAPI,5,In the middle,1,"Black, non-Hispanic",30-44,BA or above,Democrat,Female,37,6,6,8,9,6,6,9,9,6,6
360,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,0,Extremely oppose,8,Strongly favor,1,"Asian, non-Hispanic",18-29,BA or above,Independent,Male,24,0,0,2,0,0,0,2,0,0,0
446,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,7,Moderately favor,5,In the middle,1,"White, non-Hispanic",45-59,BA or above,Democrat,Female,48,8,8,8,8,8,8,8,8,8,8
493,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,5,In the middle,6,Slightly favor,1,"White, non-Hispanic",45-59,Some college,Independent,Female,48,6,6,6,6,6,6,6,6,6,6
508,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,7,Moderately favor,10,Strongly favor,1,Hispanic,60+,HS graduate or equivalent,Republican,Female,63,8,8,8,8,8,8,8,8,8,8
515,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,10,Strongly favor,9,Very strongly favor,1,"White, non-Hispanic",60+,Some college,Democrat,Female,72,9,9,9,9,9,9,9,9,9,9
0,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,0,Extremely oppose,1,"White, non-Hispanic",18-29,Some college,Independent,Male,21,6,6,3,4,4,6,6,4,6,4
17,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",45-59,BA or above,Republican,Male,49,10,10,9,10,10,10,9,10,10,10
127,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,8,Strongly favor,5,In the middle,1,"White, non-Hispanic",60+,BA or above,Independent,Male,62,8,8,8,8,9,8,9,8,8,8
173,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,8,Strongly favor,1,"White, non-Hispanic",60+,BA or above,Independent,Male,71,10,10,9,10,9,10,9,10,10,10
189,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,3,Moderately oppose,1,"White, non-Hispanic",60+,Some college,Independent,Male,68,9,9,9,10,9,10,9,10,10,10
244,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,8,Strongly favor,1,"White, non-Hispanic",18-29,Some college,Republican,Female,23,9,9,9,10,9,10,9,10,10,10
249,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,9,Very strongly favor,1,"2+, non-Hispanic",60+,BA or above,Republican,Female,62,10,10,9,10,10,10,9,10,10,10
280,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"Black, non-Hispanic",45-59,Some college,Democrat,Female,45,10,9,9,9,9,10,9,10,10,10
345,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,False,98,SKIPPED ON WEB/PAPI,10,Strongly favor,1,"Black, non-Hispanic",30-44,BA or above,Democrat,Female,37,6,6,6,6,6,8,6,6,6,6
360,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,8,Strongly favor,10,Strongly favor,1,"Asian, non-Hispanic",18-29,BA or above,Independent,Male,24,8,8,8,8,9,8,9,8,8,8
446,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",45-59,BA or above,Democrat,Female,48,10,10,9,10,9,10,9,10,10,10
493,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,"White, non-Hispanic",45-59,Some college,Independent,Female,48,6,6,3,6,4,6,6,6,6,4
508,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,8,Strongly favor,10,Strongly favor,1,Hispanic,60+,HS graduate or equivalent,Republican,Female,63,8,8,8,8,9,8,9,8,8,8
515,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,2,Strongly oppose,1,"White, non-Hispanic",60+,Some college,Democrat,Female,72,6,6,3,6,6,6,6,6,6,4
0,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,10,Strongly favor,7,Moderately favor,1,"White, non-Hispanic",18-29,Some college,Independent,Male,21,9,9,9,9,9,9,9,10,9,9
17,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,0,Extremely oppose,2,Strongly oppose,1,"White, non-Hispanic",45-59,BA or above,Republican,Male,49,0,0,2,0,4,0,2,0,0,0
127,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,6,Slightly favor,7,Moderately favor,1,"White, non-Hispanic",60+,BA or above,Independent,Male,62,7,7,7,7,8,7,7,7,7,7
173,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,6,Slightly favor,1,Very strongly oppose,1,"White, non-Hispanic",60+,BA or above,Independent,Male,71,7,7,7,7,8,7,7,7,7,7
189,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,10,Strongly favor,2,Strongly oppose,1,"White, non-Hispanic",60+,Some college,Independent,Male,68,9,9,9,9,9,9,9,10,9,9
244,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,7,Moderately favor,9,Very strongly favor,1,"White, non-Hispanic",18-29,Some college,Republican,Female,23,6,8,8,8,8,8,8,8,8,8
249,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,7,Moderately favor,5,In the middle,1,"2+, non-Hispanic",60+,BA or above,Republican,Female,62,8,8,8,8,8,8,8,8,8,8
280,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,0,Extremely oppose,5,In the middle,1,"Black, non-Hispanic",45-59,Some college,Democrat,Female,45,0,0,0,0,4,2,2,0,0,0
345,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,False,98,SKIPPED ON WEB/PAPI,1,Very strongly oppose,1,"Black, non-Hispanic",30-44,BA or above,Democrat,Female,37,10,6,7,6,6,8,6,5,10,9
360,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,10,Strongly favor,8,Strongly favor,1,"Asian, non-Hispanic",18-29,BA or above,Independent,Male,24,9,10,9,9,9,9,9,10,10,9
446,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,8,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",45-59,BA or above,Democrat,Female,48,9,8,9,9,9,9,9,9,9,9
493,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,8,Strongly favor,8,Strongly favor,1,"White, non-Hispanic",45-59,Some college,Independent,Female,48,9,9,9,9,9,9,9,9,9,9
508,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,8,Strongly favor,10,Strongly favor,1,Hispanic,60+,HS graduate or equivalent,Republican,Female,63,7,8,7,7,9,9,9,9,7,9
515,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",60+,Some college,Democrat,Female,72,9,10,10,10,9,9,9,10,10,9
